name,ticker,tier,SW_lat,SW_lon,NW_lat,NW_lon,NE_lat,NE_lon,SE_lat,SE_lon,square_S_lat,square_N_lat,square_W_lon,square_E_lon
Houlihan Lokey,HL,1,40.754765,-73.975931,40.755378,-73.975481,40.755049,-73.974617,40.754096,-73.976455,40.754096,40.755378,-73.976455,-73.974617
Lazard,LAZ,1,40.759271,-73.980867,40.759897,-73.980444,40.759076,-73.978468,40.758445,-73.978911,40.758445,40.759897,-73.980867,-73.978468
Evercore,EVR,1,40.759175,-73.974836,40.759829,-73.974278,40.759032,-73.972401,40.758333,-73.972937,40.758333,40.759829,-73.974836,-73.972401
Cowen Group,COWN,1,40.757737,-73.971588,40.75848,-73.971068,40.757753,-73.969426,40.756993,-73.969813,40.756993,40.75848,-73.971588,-73.969426
Greenhill,GHL,1,40.757002,-73.975612,40.757672,-73.975025,40.757177,-73.973753,40.756439,-73.974317,40.756439,40.757672,-73.975612,-73.973753
Moelis,MC,1,40.759087,-73.972831,40.7598,-73.972302,40.759056,-73.970379,40.758259,-73.970972,40.758259,40.7598,-73.972831,-73.970379
Piper Jaffray,PJC,1,40.757804,-73.973738,40.758564,-73.973194,40.757731,-73.971247,40.757016,-73.971855,40.757016,40.758564,-73.973738,-73.971247
Oppenheimer,OPY,1,40.703368,-74.01175,40.704358,-74.011653,40.704533,-74.010818,40.703814,-74.010395,40.703368,40.704533,-74.01175,-74.010395
Stifel,SF,1,40.761691,-73.983029,40.762504,-73.982589,40.761439,-73.979993,40.760651,-73.980433,40.760651,40.762504,-73.983029,-73.979993
PJT Partners,PJT,1,40.756404,-73.976234,40.757156,-73.975579,40.756566,-73.974195,40.755831,-73.974732,40.755831,40.757156,-73.976234,-73.974195
Macquarie,MQG,1,40.763932,-73.980347,40.764627,-73.979867,40.763675,-73.977519,40.762936,-73.9781,40.762936,40.764627,-73.980347,-73.977519
Goldman Sachs,GS,1,40.714331,-74.015275,40.715567,-74.014728,40.715262,-74.013108,40.713725,-74.013563,40.713725,40.715567,-74.015275,-74.013108
JP Morgan,JPM,1,40.755863,-73.976974,40.756709,-73.976523,40.75562,-73.973889,40.754896,-73.97449,40.754896,40.756709,-73.976974,-73.973889
Morgan Stanley,MS,1,40.760141,-73.986956,40.760831,-73.986436,40.760193,-73.984746,40.759348,-73.985089,40.759348,40.760831,-73.986956,-73.984746
UBS,UBS,1,40.761241,-73.98176,40.761987,-73.981349,40.761236,-73.979249,40.760362,-73.979926,40.760362,40.761987,-73.98176,-73.979249
Barclays,BCS,1,40.760414,-73.983901,40.761202,-73.98337,40.760576,-73.981873,40.759808,-73.982281,40.759808,40.761202,-73.983901,-73.981873
Bank of America Merrill Lynch,BAC,2,40.755526,-73.985895,40.756367,-73.985391,40.755547,-73.983449,40.754693,-73.984082,40.754693,40.756367,-73.985895,-73.983449
Citi Group,C,2,40.720222,-74.01197,40.72168,-74.01168,40.721512,-74.009825,40.720046,-74.010001,40.720046,40.72168,-74.01197,-74.009825
Credit Suisse,CS,2,40.741451,-73.987606,40.742233,-73.987077,40.74149,-73.985253,40.740685,-73.985864,40.740685,40.742233,-73.987606,-73.985253
Deutsche Bank,DB,2,40.70638,-74.009618,40.707043,-74.009028,40.706046,-74.007322,40.705469,-74.007918,40.705469,40.707043,-74.009618,-74.007322
RBC,RY,2,40.713118,-74.016366,40.714854,-74.01623,40.713868,-74.013508,40.712471,-74.014716,40.712471,40.714854,-74.016366,-74.013508
BNP Paribas,BNP,2,40.761691,-73.983029,40.762504,-73.982589,40.761439,-73.979993,40.760651,-73.980433,40.760651,40.762504,-73.983029,-73.979993
Nomura,NMR,2,40.762238,-73.988039,40.762856,-73.987332,40.762335,-73.985969,40.761578,-73.986539,40.761578,40.762856,-73.988039,-73.985969
Societe Generale,GLE,2,40.754765,-73.975931,40.755378,-73.975481,40.755049,-73.974617,40.754096,-73.976455,40.754096,40.755378,-73.976455,-73.974617
BMO,BMO,3,40.756562,-73.988427,40.757361,-73.987822,40.756709,-73.986306,40.75593,-73.986888,40.75593,40.757361,-73.988427,-73.986306
