ticker,quarter,year,date,segment,IB,item,amnt
LAZ,2,2008,6/30/2008,Asset Management,no,  Operating Income,38.08
LAZ,3,2008,9/30/2008,Asset Management,no,  Operating Income,-170.135
LAZ,4,2008,12/31/2008,Asset Management,no,  Operating Income,18.278
LAZ,1,2009,3/31/2009,Asset Management,no,  Operating Income,11.083
LAZ,2,2009,6/30/2009,Asset Management,no,  Operating Income,27.57
LAZ,3,2009,9/30/2009,Asset Management,no,  Operating Income,43.016
LAZ,4,2009,12/31/2009,Asset Management,no,  Operating Income,15.531
LAZ,1,2010,3/31/2010,Asset Management,no,  Operating Income,58.313
LAZ,2,2010,6/30/2010,Asset Management,no,  Operating Income,52.528
LAZ,3,2010,9/30/2010,Asset Management,no,  Operating Income,59.617
LAZ,4,2010,12/31/2010,Asset Management,no,  Operating Income,94.856
LAZ,1,2011,3/31/2011,Asset Management,no,  Operating Income,77.649
LAZ,2,2011,6/30/2011,Asset Management,no,  Operating Income,83.941
LAZ,3,2011,9/30/2011,Asset Management,no,  Operating Income,62.368
LAZ,4,2011,12/31/2011,Asset Management,no,  Operating Income,44.498
LAZ,1,2012,3/31/2012,Asset Management,no,  Operating Income,54.026
LAZ,2,2012,6/30/2012,Asset Management,no,  Operating Income,54.434
LAZ,3,2012,9/30/2012,Asset Management,no,  Operating Income,60.647
LAZ,4,2012,12/31/2012,Asset Management,no,  Operating Income,67.65
LAZ,1,2013,3/31/2013,Asset Management,no,  Operating Income,88.948
LAZ,2,2013,6/30/2013,Asset Management,no,  Operating Income,57.945
LAZ,3,2013,9/30/2013,Asset Management,no,  Operating Income,83.199
LAZ,4,2013,12/31/2013,Asset Management,no,  Operating Income,104.993
LAZ,1,2014,3/31/2014,Asset Management,no,  Operating Income,92.803
LAZ,2,2014,6/30/2014,Asset Management,no,  Operating Income,102.927
LAZ,3,2014,9/30/2014,Asset Management,no,  Operating Income,100.466
LAZ,4,2014,12/31/2014,Asset Management,no,  Operating Income,—
LAZ,1,2015,3/31/2015,Asset Management,no,  Operating Income,98.015
LAZ,2,2015,6/30/2015,Asset Management,no,  Operating Income,112.047
LAZ,3,2015,9/30/2015,Asset Management,no,  Operating Income,85.426
LAZ,4,2015,12/31/2015,Asset Management,no,  Operating Income,78.819
LAZ,1,2016,3/31/2016,Asset Management,no,  Operating Income,70.598
LAZ,2,2016,6/30/2016,Asset Management,no,  Operating Income,71.424
LAZ,3,2016,9/30/2016,Asset Management,no,  Operating Income,81.972
LAZ,4,2016,12/31/2016,Asset Management,no,  Operating Income,57.585
LAZ,2,2008,6/30/2008,Asset Management,no,  Assets,469.322
LAZ,3,2008,9/30/2008,Asset Management,no,  Assets,459.424
LAZ,4,2008,12/31/2008,Asset Management,no,  Assets,419.858
LAZ,1,2009,3/31/2009,Asset Management,no,  Assets,376.209
LAZ,2,2009,6/30/2009,Asset Management,no,  Assets,390.704
LAZ,3,2009,9/30/2009,Asset Management,no,  Assets,627.953
LAZ,4,2009,12/31/2009,Asset Management,no,  Assets,702.775
LAZ,1,2010,3/31/2010,Asset Management,no,  Assets,651.094
LAZ,2,2010,6/30/2010,Asset Management,no,  Assets,679.5
